layer,level,class,id,metric,value,tf_id,dist
2,landscape,NA,NA,msidi,0.5699869125056426,89,1000
2,landscape,NA,NA,para_mn,0.2993388492895203,89,1000
2,landscape,NA,NA,shdi,0.8629080465280768,89,1000
1,landscape,NA,NA,frac_mn,1.1465671556069843,91,1000
1,landscape,NA,NA,msidi,-0,91,1000
1,landscape,NA,NA,para_mn,0.10991273766829371,91,1000
1,landscape,NA,NA,shdi,0,91,1000
2,landscape,NA,NA,frac_mn,1.0762853598300355,91,1000
2,landscape,NA,NA,msidi,0.46956784533419005,91,1000
2,landscape,NA,NA,para_mn,0.29593875354972243,91,1000
2,landscape,NA,NA,shdi,0.7756008809362991,91,1000
1,landscape,NA,NA,frac_mn,1.105442991312741,92,1000
1,landscape,NA,NA,msidi,-0,92,1000
1,landscape,NA,NA,para_mn,0.12086270354389408,92,1000
1,landscape,NA,NA,shdi,0,92,1000
2,landscape,NA,NA,frac_mn,1.0641440019251358,92,1000
2,landscape,NA,NA,msidi,0.26814907991682935,92,1000
2,landscape,NA,NA,para_mn,0.3068133095107077,92,1000
2,landscape,NA,NA,shdi,0.4552227862416249,92,1000
1,landscape,NA,NA,frac_mn,1.0804401086411877,93,1000
1,landscape,NA,NA,msidi,-0,93,1000
1,landscape,NA,NA,para_mn,0.24894968313410257,93,1000
1,landscape,NA,NA,shdi,0,93,1000
2,landscape,NA,NA,frac_mn,1.0720283826681662,93,1000
2,landscape,NA,NA,msidi,0.0534455979764135,93,1000
2,landscape,NA,NA,para_mn,0.2728679452279893,93,1000
2,landscape,NA,NA,shdi,0.12371632987377956,93,1000
1,landscape,NA,NA,frac_mn,1.1186400557980576,94,1000
1,landscape,NA,NA,msidi,-0,94,1000
1,landscape,NA,NA,para_mn,0.11745461292297182,94,1000
1,landscape,NA,NA,shdi,0,94,1000
2,landscape,NA,NA,frac_mn,1.0738776733051303,94,1000
2,landscape,NA,NA,msidi,0.5324533670065036,94,1000
2,landscape,NA,NA,para_mn,0.30795656960572293,94,1000
2,landscape,NA,NA,shdi,0.7632323619737131,94,1000
1,landscape,NA,NA,frac_mn,1.0881703895036514,95,1000
1,landscape,NA,NA,msidi,-0,95,1000
1,landscape,NA,NA,para_mn,0.1734849395619144,95,1000
1,landscape,NA,NA,shdi,0,95,1000
2,landscape,NA,NA,frac_mn,1.0687727379876812,95,1000
2,landscape,NA,NA,msidi,0.5275598144135485,95,1000
2,landscape,NA,NA,para_mn,0.29120878865999583,95,1000
2,landscape,NA,NA,shdi,0.7311703360532985,95,1000
1,landscape,NA,NA,frac_mn,1.1076830427098683,96,1000
1,landscape,NA,NA,msidi,-0,96,1000
1,landscape,NA,NA,para_mn,0.14687912901885675,96,1000
1,landscape,NA,NA,shdi,0,96,1000
2,landscape,NA,NA,frac_mn,1.0742885988218955,96,1000
2,landscape,NA,NA,msidi,0.3364328924338609,96,1000
2,landscape,NA,NA,para_mn,0.2870264485684368,96,1000
2,landscape,NA,NA,shdi,0.5951851026814714,96,1000
1,landscape,NA,NA,frac_mn,1.0752347731824636,97,1000
1,landscape,NA,NA,msidi,-0,97,1000
1,landscape,NA,NA,para_mn,0.21741907221878384,97,1000
1,landscape,NA,NA,shdi,0,97,1000
2,landscape,NA,NA,frac_mn,1.0646375363235674,97,1000
2,landscape,NA,NA,msidi,0.16373408980937235,97,1000
2,landscape,NA,NA,para_mn,0.2860680290218675,97,1000
2,landscape,NA,NA,shdi,0.3170941699199443,97,1000
1,landscape,NA,NA,frac_mn,1.082244476659914,98,1000
1,landscape,NA,NA,msidi,-0,98,1000
1,landscape,NA,NA,para_mn,0.0950827196066659,98,1000
1,landscape,NA,NA,shdi,0,98,1000
2,landscape,NA,NA,frac_mn,1.068126033532919,98,1000
2,landscape,NA,NA,msidi,0.2065320612898623,98,1000
2,landscape,NA,NA,para_mn,0.2858245779256614,98,1000
2,landscape,NA,NA,shdi,0.4363240181087939,98,1000
1,landscape,NA,NA,frac_mn,1.1185219157105577,99,1000
1,landscape,NA,NA,msidi,-0,99,1000
1,landscape,NA,NA,para_mn,0.12902814145433442,99,1000
1,landscape,NA,NA,shdi,0,99,1000
2,landscape,NA,NA,frac_mn,1.0664740816816292,99,1000
2,landscape,NA,NA,msidi,0.2927105971642406,99,1000
2,landscape,NA,NA,para_mn,0.3051114462103868,99,1000
2,landscape,NA,NA,shdi,0.5251702116377727,99,1000
1,landscape,NA,NA,frac_mn,1.1205855794174664,100,1000
1,landscape,NA,NA,msidi,-0,100,1000
1,landscape,NA,NA,para_mn,0.13472286851986467,100,1000
1,landscape,NA,NA,shdi,0,100,1000
2,landscape,NA,NA,frac_mn,1.0746161249236568,100,1000
2,landscape,NA,NA,msidi,0.3855329752817666,100,1000
2,landscape,NA,NA,para_mn,0.3009439646460447,100,1000
2,landscape,NA,NA,shdi,0.6552358720991782,100,1000
1,landscape,NA,NA,frac_mn,1.1384716597012583,132,1000
1,landscape,NA,NA,msidi,-0,132,1000
1,landscape,NA,NA,para_mn,0.11278496582159864,132,1000
1,landscape,NA,NA,shdi,0,132,1000
2,landscape,NA,NA,frac_mn,1.0956394638533953,132,1000
2,landscape,NA,NA,msidi,0.2163291168948382,132,1000
2,landscape,NA,NA,para_mn,0.2624268360991407,132,1000
2,landscape,NA,NA,shdi,0.44928925780009044,132,1000
1,landscape,NA,NA,frac_mn,1.1224751293373796,133,1000
1,landscape,NA,NA,msidi,-0,133,1000
1,landscape,NA,NA,para_mn,0.1405960181818162,133,1000
1,landscape,NA,NA,shdi,0,133,1000
2,landscape,NA,NA,frac_mn,1.0992261880500802,133,1000
2,landscape,NA,NA,msidi,0.10429095480248396,133,1000
2,landscape,NA,NA,para_mn,0.241554033558865,133,1000
2,landscape,NA,NA,shdi,0.25868495270794467,133,1000
1,landscape,NA,NA,frac_mn,1.116662430589872,134,1000
1,landscape,NA,NA,msidi,-0,134,1000
1,landscape,NA,NA,para_mn,0.1675646447772949,134,1000
1,landscape,NA,NA,shdi,0,134,1000
2,landscape,NA,NA,frac_mn,1.091522735524664,134,1000
2,landscape,NA,NA,msidi,0.47728447891095566,134,1000
2,landscape,NA,NA,para_mn,0.24862740758785584,134,1000
2,landscape,NA,NA,shdi,0.7271053598839439,134,1000
1,landscape,NA,NA,frac_mn,1.1040229273293856,135,1000
1,landscape,NA,NA,msidi,-0,135,1000
1,landscape,NA,NA,para_mn,0.16984134207796736,135,1000
1,landscape,NA,NA,shdi,0,135,1000
2,landscape,NA,NA,frac_mn,1.060695100295329,135,1000
2,landscape,NA,NA,msidi,0.32337884914557713,135,1000
2,landscape,NA,NA,para_mn,0.31036840428115875,135,1000
2,landscape,NA,NA,shdi,0.5465201400391739,135,1000
1,landscape,NA,NA,frac_mn,1.1192524490645384,136,1000
1,landscape,NA,NA,msidi,-0,136,1000
1,landscape,NA,NA,para_mn,0.15099772248906612,136,1000
1,landscape,NA,NA,shdi,0,136,1000
2,landscape,NA,NA,frac_mn,1.0686027924676516,136,1000
2,landscape,NA,NA,msidi,0.22042963785491476,136,1000
2,landscape,NA,NA,para_mn,0.2942781842497381,136,1000
2,landscape,NA,NA,shdi,0.3723000761647641,136,1000
1,landscape,NA,NA,frac_mn,1.086367616002296,137,1000
1,landscape,NA,NA,msidi,-0,137,1000
1,landscape,NA,NA,para_mn,0.171758024505836,137,1000
